Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Data collections
NA06985	female	SAME124762	CEU	CEPH	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA06997	female	SAME124930	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
NA07022	male	SAME125336	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
NA07034	male	SAME122863	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
NA07349	male	SAME123568	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
NA10830	male	SAME124548	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
NA10835	male	SAME124547	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
NA12766	male	SAME124471	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
NA12778	female	SAME124249	CEU	CEPH	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA06994	male	SAME124931	CEU	CEPH	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA12812	male	SAME123023	CEU	CEPH	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA07000	female	SAME124963	CEU	CEPH	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA12817	male	SAME123020	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
NA07029	male	SAME125338	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
NA12343	female	SAME125156	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
NA07031	female	SAME122860	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
NA12348	female	SAME125163	CEU	CEPH	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA07048	male	SAME124188	CEU	CEPH	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis
NA12386	female	SAME124386	CEU	CEPH	EUR	European	1000 Genomes phase 3 release
